"filename", "language", "XML", "C#", "C++", "HTML", "ASP.NET Razor", "JSON", "CSS", "JavaScript", "comment", "blank", "total"
"c:\Users\Pioter\Desktop\CinemaApp\CinemaApp\CinemaApp.Application\CinemaApp\Commands\CreateMovie\CreateMovieCommandValidator.cs", "C#", 0, 27, 0, 0, 0, 0, 0, 0, 0, 2, 29
"c:\Users\Pioter\Desktop\CinemaApp\CinemaApp\CinemaApp.Application\CinemaApp\Commands\CreateRating\CreateRatingCommand.cs", "C#", 0, 7, 0, 0, 0, 0, 0, 0, 0, 2, 9
"c:\Users\Pioter\Desktop\CinemaApp\CinemaApp\CinemaApp.Application\CinemaApp\Commands\CreateRating\CreateRatingCommandHandler.cs", "C#", 0, 37, 0, 0, 0, 0, 0, 0, 0, 10, 47
"c:\Users\Pioter\Desktop\CinemaApp\CinemaApp\CinemaApp.Application\CinemaApp\Commands\CreateRating\CreateRatingCommandValidator.cs", "C#", 0, 17, 0, 0, 0, 0, 0, 0, 0, 2, 19
"c:\Users\Pioter\Desktop\CinemaApp\CinemaApp\CinemaApp.Application\CinemaApp\Commands\CreateTicket\CreateTicketCommand.cs", "C#", 0, 16, 0, 0, 0, 0, 0, 0, 0, 3, 19
"c:\Users\Pioter\Desktop\CinemaApp\CinemaApp\CinemaApp.Application\CinemaApp\Commands\CreateTicket\CreateTicketCommandHandler.cs", "C#", 0, 26, 0, 0, 0, 0, 0, 0, 0, 7, 33
"c:\Users\Pioter\Desktop\CinemaApp\CinemaApp\CinemaApp.Application\CinemaApp\Commands\DeleteMovieRating\DeleteMovieRatingCommand.cs", "C#", 0, 7, 0, 0, 0, 0, 0, 0, 0, 2, 9
"c:\Users\Pioter\Desktop\CinemaApp\CinemaApp\CinemaApp.Application\CinemaApp\Commands\DeleteMovieRating\DeleteMovieRatingCommandHandler.cs", "C#", 0, 24, 0, 0, 0, 0, 0, 0, 0, 6, 30
"c:\Users\Pioter\Desktop\CinemaApp\CinemaApp\CinemaApp.Application\CinemaApp\Commands\EditMovieShow\EditMovieShowCommand.cs", "C#", 0, 7, 0, 0, 0, 0, 0, 0, 0, 3, 10
"c:\Users\Pioter\Desktop\CinemaApp\CinemaApp\CinemaApp.Application\CinemaApp\Commands\EditMovieShow\EditMovieShowCommandHandler.cs", "C#", 0, 39, 0, 0, 0, 0, 0, 0, 0, 8, 47
"c:\Users\Pioter\Desktop\CinemaApp\CinemaApp\CinemaApp.Application\CinemaApp\Commands\EditMovieShow\EditMovieShowCommandValidator.cs", "C#", 0, 35, 0, 0, 0, 0, 0, 0, 0, 3, 38
"c:\Users\Pioter\Desktop\CinemaApp\CinemaApp\CinemaApp.Application\CinemaApp\Commands\EditMovie\EditMovieCommand.cs", "C#", 0, 7, 0, 0, 0, 0, 0, 0, 0, 2, 9
"c:\Users\Pioter\Desktop\CinemaApp\CinemaApp\CinemaApp.Application\CinemaApp\Commands\EditMovie\EditMovieCommandHandler.cs", "C#", 0, 36, 0, 0, 0, 0, 0, 0, 0, 7, 43
"c:\Users\Pioter\Desktop\CinemaApp\CinemaApp\CinemaApp.Application\CinemaApp\Commands\EditMovie\EditMovieCommandValidator.cs", "C#", 0, 22, 0, 0, 0, 0, 0, 0, 0, 2, 24
"c:\Users\Pioter\Desktop\CinemaApp\CinemaApp\CinemaApp.Application\CinemaApp\Commands\EditTicket\EditTicketCommand.cs", "C#", 0, 12, 0, 0, 0, 0, 0, 0, 0, 3, 15
