"filename", "language", "C++", "HTML", "C#", "ASP.NET Razor", "JavaScript", "CSS", "JSON", "XML", "comment", "blank", "total"
"c:\Users\Pioter\Desktop\CinemaApp\CinemaApp\CinemaApp\Controllers\HomeController.cs", "C#", 0, 0, -34, 0, 0, 0, 0, 0, 0, -5, -39
"c:\Users\Pioter\Desktop\CinemaApp\CinemaApp\CinemaApp\Controllers\MovieController.cs", "C#", 0, 0, -155, 0, 0, 0, 0, 0, 0, -35, -190
"c:\Users\Pioter\Desktop\CinemaApp\CinemaApp\CinemaApp\Controllers\MovieShowController.cs", "C#", 0, 0, -129, 0, 0, 0, 0, 0, 0, -30, -159
"c:\Users\Pioter\Desktop\CinemaApp\CinemaApp\CinemaApp\Controllers\TicketController.cs", "C#", 0, 0, -231, 0, 0, 0, 0, 0, -4, -47, -282
"c:\Users\Pioter\Desktop\CinemaApp\CinemaApp\CinemaApp\Extensions\ControllerExtensions.cs", "C#", 0, 0, -15, 0, 0, 0, 0, 0, 0, -2, -17
"c:\Users\Pioter\Desktop\CinemaApp\CinemaApp\CinemaApp\Models\ErrorViewModel.cs", "C#", 0, 0, -8, 0, 0, 0, 0, 0, 0, -1, -9
"c:\Users\Pioter\Desktop\CinemaApp\CinemaApp\CinemaApp\Models\Notification.cs", "C#", 0, 0, -13, 0, 0, 0, 0, 0, 0, -2, -15
"c:\Users\Pioter\Desktop\CinemaApp\CinemaApp\CinemaApp\Program.cs", "C#", 0, 0, -40, 0, 0, 0, 0, 0, -2, -15, -57
"c:\Users\Pioter\Desktop\CinemaApp\CinemaApp\CinemaApp\Templates\ConfirmationEmail.html", "HTML", 0, -13, 0, 0, 0, 0, 0, 0, 0, -1, -14
"c:\Users\Pioter\Desktop\CinemaApp\CinemaApp\CinemaApp\Templates\Email.html", "HTML", 0, -13, 0, 0, 0, 0, 0, 0, 0, 0, -13
"c:\Users\Pioter\Desktop\CinemaApp\CinemaApp\CinemaApp\Templates\EmailWithRecoveryPassword.html", "HTML", 0, -15, 0, 0, 0, 0, 0, 0, 0, -1, -16
"c:\Users\Pioter\Desktop\CinemaApp\CinemaApp\CinemaApp\Templates\Ticket.html", "HTML", 0, -24, 0, 0, 0, 0, 0, 0, 0, -1, -25
"c:\Users\Pioter\Desktop\CinemaApp\CinemaApp\CinemaApp\Views\Account\ForgotPassword.cshtml", "ASP.NET Razor", 0, 0, 0, -22, 0, 0, 0, 0, 0, -1, -23
"c:\Users\Pioter\Desktop\CinemaApp\CinemaApp\CinemaApp\Views\Account\ForgotPasswordConfirmation.cshtml", "ASP.NET Razor", 0, 0, 0, -13, 0, 0, 0, 0, 0, -2, -15
"c:\Users\Pioter\Desktop\CinemaApp\CinemaApp\CinemaApp\Views\Account\Index.cshtml", "ASP.NET Razor", 0, 0, 0, -79, 0, 0, 0, 0, 0, -6, -85
"c:\Users\Pioter\Desktop\CinemaApp\CinemaApp\CinemaApp\Views\Account\ResetPassword.cshtml", "ASP.NET Razor", 0, 0, 0, -30, 0, 0, 0, 0, 0, -3, -33
"c:\Users\Pioter\Desktop\CinemaApp\CinemaApp\CinemaApp\Views\Account\ResetPasswordConfirmation.cshtml", "ASP.NET Razor", 0, 0, 0, -16, 0, 0, 0, 0, 0, -3, -19
"c:\Users\Pioter\Desktop\CinemaApp\CinemaApp\CinemaApp\Views\Home\Index.cshtml", "ASP.NET Razor", 0, 0, 0, -46, 0, 0, 0, 0, 0, -3, -49
"c:\Users\Pioter\Desktop\CinemaApp\CinemaApp\CinemaApp\Views\Home\NoAccess.cshtml", "ASP.NET Razor", 0, 0, 0, -1, 0, 0, 0, 0, 0, 0, -1
"c:\Users\Pioter\Desktop\CinemaApp\CinemaApp\CinemaApp\Views\MovieShow\Create.cshtml", "ASP.NET Razor", 0, 0, 0, -36, 0, 0, 0, 0, 0, -6, -42
"c:\Users\Pioter\Desktop\CinemaApp\CinemaApp\CinemaApp\Views\MovieShow\Details.cshtml", "ASP.NET Razor", 0, 0, 0, -176, 0, 0, 0, 0, 0, -29, -205
"c:\Users\Pioter\Desktop\CinemaApp\CinemaApp\CinemaApp\Views\MovieShow\Edit.cshtml", "ASP.NET Razor", 0, 0, 0, -81, 0, 0, 0, 0, 0, -6, -87
"c:\Users\Pioter\Desktop\CinemaApp\CinemaApp\CinemaApp\Views\MovieShow\Index.cshtml", "ASP.NET Razor", 0, 0, 0, -77, 0, 0, 0, 0, 0, -3, -80
"c:\Users\Pioter\Desktop\CinemaApp\CinemaApp\CinemaApp\Views\MovieShow\_ShowsListPartial.cshtml", "ASP.NET Razor", 0, 0, 0, -55, 0, 0, 0, 0, 0, -6, -61
"c:\Users\Pioter\Desktop\CinemaApp\CinemaApp\CinemaApp\Views\MovieShow\_ShowsListPartial.cshtml.cs", "C#", 0, 0, -11, 0, 0, 0, 0, 0, 0, -2, -13
"c:\Users\Pioter\Desktop\CinemaApp\CinemaApp\CinemaApp\Views\Movie\Create.cshtml", "ASP.NET Razor", 0, 0, 0, -71, 0, 0, 0, 0, 0, -6, -77
"c:\Users\Pioter\Desktop\CinemaApp\CinemaApp\CinemaApp\Views\Movie\Details.cshtml", "ASP.NET Razor", 0, 0, 0, -88, 0, 0, 0, 0, 0, -10, -98
"c:\Users\Pioter\Desktop\CinemaApp\CinemaApp\CinemaApp\Views\Movie\Edit.cshtml", "ASP.NET Razor", 0, 0, 0, -76, 0, 0, 0, 0, 0, -6, -82
"c:\Users\Pioter\Desktop\CinemaApp\CinemaApp\CinemaApp\Views\Movie\Index.cshtml", "ASP.NET Razor", 0, 0, 0, -93, 0, 0, 0, 0, 0, -7, -100
"c:\Users\Pioter\Desktop\CinemaApp\CinemaApp\CinemaApp\Views\Movie\_CreateMovieRatingPartial.cshtml", "ASP.NET Razor", 0, 0, 0, -72, 0, 0, 0, 0, 0, -7, -79
"c:\Users\Pioter\Desktop\CinemaApp\CinemaApp\CinemaApp\Views\Movie\_MoviesListPartial.cshtml", "ASP.NET Razor", 0, 0, 0, -47, 0, 0, 0, 0, 0, -1, -48
"c:\Users\Pioter\Desktop\CinemaApp\CinemaApp\CinemaApp\Views\Shared\Error.cshtml", "ASP.NET Razor", 0, 0, 0, -22, 0, 0, 0, 0, 0, -4, -26
"c:\Users\Pioter\Desktop\CinemaApp\CinemaApp\CinemaApp\Views\Shared\_Layout.cshtml", "ASP.NET Razor", 0, 0, 0, -82, 0, 0, 0, 0, 0, -5, -87
"c:\Users\Pioter\Desktop\CinemaApp\CinemaApp\CinemaApp\Views\Shared\_Layout.cshtml.css", "CSS", 0, 0, 0, 0, 0, -38, 0, 0, -2, -9, -49
"c:\Users\Pioter\Desktop\CinemaApp\CinemaApp\CinemaApp\Views\Shared\_LoginPartial.cshtml", "ASP.NET Razor", 0, 0, 0, -38, 0, 0, 0, 0, 0, -2, -40
"c:\Users\Pioter\Desktop\CinemaApp\CinemaApp\CinemaApp\Views\Shared\_LoginPartial.cshtml.cs", "C#", 0, 0, -11, 0, 0, 0, 0, 0, 0, -2, -13
"c:\Users\Pioter\Desktop\CinemaApp\CinemaApp\CinemaApp\Views\Shared\_ValidationScriptsPartial.cshtml", "ASP.NET Razor", 0, 0, 0, -2, 0, 0, 0, 0, 0, -1, -3
"c:\Users\Pioter\Desktop\CinemaApp\CinemaApp\CinemaApp\Views\Ticket\Create.cshtml", "ASP.NET Razor", 0, 0, 0, -134, 0, 0, 0, 0, 0, -12, -146
"c:\Users\Pioter\Desktop\CinemaApp\CinemaApp\CinemaApp\Views\Ticket\Index.cshtml", "ASP.NET Razor", 0, 0, 0, -61, 0, 0, 0, 0, 0, -8, -69
"c:\Users\Pioter\Desktop\CinemaApp\CinemaApp\CinemaApp\Views\Ticket\_TicketDetailsPartial.cshtml", "ASP.NET Razor", 0, 0, 0, -38, 0, 0, 0, 0, 0, -3, -41
"c:\Users\Pioter\Desktop\CinemaApp\CinemaApp\CinemaApp\Views\Ticket\_TicketListPartial.cshtml", "ASP.NET Razor", 0, 0, 0, -67, 0, 0, 0, 0, 0, -6, -73
"c:\Users\Pioter\Desktop\CinemaApp\CinemaApp\CinemaApp\Views\_ViewImports.cshtml", "ASP.NET Razor", 0, 0, 0, -3, 0, 0, 0, 0, 0, -1, -4
"c:\Users\Pioter\Desktop\CinemaApp\CinemaApp\CinemaApp\Views\_ViewStart.cshtml", "ASP.NET Razor", 0, 0, 0, -3, 0, 0, 0, 0, 0, -1, -4
"c:\Users\Pioter\Desktop\CinemaApp\CinemaApp\CinemaApp\appsettings.Development.json", "JSON", 0, 0, 0, 0, 0, 0, -8, 0, 0, -1, -9
"c:\Users\Pioter\Desktop\CinemaApp\CinemaApp\CinemaApp\appsettings.json", "JSON", 0, 0, 0, 0, 0, 0, -22, 0, 0, 0, -22
"c:\Users\Pioter\Desktop\CinemaApp\CinemaApp\CinemaApp\libman.json", "JSON", 0, 0, 0, 0, 0, 0, -14, 0, 0, 0, -14
"c:\Users\Pioter\Desktop\CinemaApp\CinemaApp\CinemaApp\wwwroot\css\Home\HomeSiteStyleSheet.css", "CSS", 0, 0, 0, 0, 0, -166, 0, 0, -1, -32, -199
"c:\Users\Pioter\Desktop\CinemaApp\CinemaApp\CinemaApp\wwwroot\css\Identity\IdentityStyleSheet.css", "CSS", 0, 0, 0, 0, 0, -123, 0, 0, 0, -21, -144
"c:\Users\Pioter\Desktop\CinemaApp\CinemaApp\CinemaApp\wwwroot\css\Movie\MovieDetailsStyleSheet.css", "CSS", 0, 0, 0, 0, 0, -92, 0, 0, 0, -21, -113
